M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
7898,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7898,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7898,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7898,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7898,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7898,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6610,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6610,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6610,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6610,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6610,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6610,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6844,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6844,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6844,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6844,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6844,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6844,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7696,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7696,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7696,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7696,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7696,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7696,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7332,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7332,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7332,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7332,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7332,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7332,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6983,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6983,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6983,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6983,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6983,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6983,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7659,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7659,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7659,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7659,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7659,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7659,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6644,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6644,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6644,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6644,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6644,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6644,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
6951,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
6951,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
6951,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
6951,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
6951,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
6951,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7164,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7164,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7164,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7164,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7164,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7164,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
8142,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
8142,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
8142,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
8142,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
8142,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
8142,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
7461,9216,6144,False,torch.bfloat16,torch.bfloat16,False,False
7461,6144,8192,False,torch.bfloat16,torch.bfloat16,False,False
7461,24576,6144,False,torch.bfloat16,torch.bfloat16,False,False
7461,6144,12288,False,torch.bfloat16,torch.bfloat16,False,False
7461,9856,6144,False,torch.bfloat16,torch.bfloat16,False,False
7461,128,6144,False,torch.bfloat16,torch.bfloat16,False,False
